SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12%;PF 17%;PF 17% ALC;PF 17,5%;PF 17,5% ALC;PF 18%;PF 18% ALC;PF 20%;PMC 0%;PMC 12%;PMC 17%;PMC 17% ALC;PMC 17,5%;PMC 17,5% ALC;PMC 18%;PMC 18% ALC;PMC 20%;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2020;TARJA
ÁGUA PARA INJETÁVEIS;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 100 ML SIST. FECHADO;K1B4 - ÁGUA DESTILADA PARA INJEÇÃO;Específico;Regulado;6,27;6,27;7,13;7,55;7,55;7,6;7,6;7,65;7,65;7,84;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
ÁGUA PARA INJETÁVEIS;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 250 ML SIST. FECHADO;K1B4 - ÁGUA DESTILADA PARA INJEÇÃO;Específico;Regulado;6,27;6,27;7,13;7,55;7,55;7,6;7,6;7,65;7,65;7,84;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
ÁGUA PARA INJETÁVEIS;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 500 ML SIST. FECHADO;K1B4 - ÁGUA DESTILADA PARA INJEÇÃO;Específico;Regulado;6,98;6,98;7,93;8,41;8,41;8,46;8,46;8,51;8,51;8,73;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
ÁGUA PARA INJEÇÃO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 1000 ML SIST. FECHADO;K1B4 - ÁGUA DESTILADA PARA INJEÇÃO;Específico;Regulado;9,73;9,73;11,06;11,72;11,72;11,79;11,79;11,87;11,87;12,16;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
"LACTATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SOLUÇÃO RINGER COM LACTATO;SOL INJ  CX FR PLAS TRANS SIST FECH X 500 ML ;K1A7 - SOLUÇÕES DE RINGER E RINGER LACTATO;Específico;Regulado;6,35;6,35;7,22;7,65;7,65;7,7;7,7;7,74;7,74;7,94;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
"LACTATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SOLUÇÃO RINGER COM LACTATO;SOL INJ CX FR PLAS TRANS SIST FECH X 1000 ML ;K1A7 - SOLUÇÕES DE RINGER E RINGER LACTATO;Específico;Regulado;9,55;9,55;10,85;11,51;11,51;11,58;11,58;11,65;11,65;11,94;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
GLICOSE;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICOSE;50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 50 ML;K1B3 - SOLUÇÕES CARBOHIDRATOS <10%;Específico;Regulado;5,14;5,14;5,84;6,19;6,19;6,23;6,23;6,27;6,27;6,43;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
GLICOSE;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICOSE;50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 100 ML ;K1B3 - SOLUÇÕES CARBOHIDRATOS <10%;Específico;Regulado;5,48;5,48;6,23;6,6;6,6;6,64;6,64;6,68;6,68;6,85;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
GLICOSE;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICOSE;50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML;K1B3 - SOLUÇÕES CARBOHIDRATOS <10%;Específico;Regulado;4,83;4,83;5,49;5,82;5,82;5,85;5,85;5,89;5,89;6,04;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
GLICOSE;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICOSE;50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML;K1B3 - SOLUÇÕES CARBOHIDRATOS <10%;Específico;Regulado;8,37;8,37;9,51;10,08;10,08;10,15;10,15;10,21;10,21;10,46;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
GLICOSE;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICOSE;100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML;K1B3 - SOLUÇÕES CARBOHIDRATOS <10%;Específico;Regulado;5,37;5,37;6,1;6,47;6,47;6,51;6,51;6,55;6,55;6,71;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
GLICOSE;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICOSE;100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML;K1B3 - SOLUÇÕES CARBOHIDRATOS <10%;Específico;Regulado;7,73;7,73;8,78;9,31;9,31;9,37;9,37;9,43;9,43;9,66;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
GLICOSE;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICOSE;100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML;K1B3 - SOLUÇÕES CARBOHIDRATOS <10%;Específico;Regulado;10,98;10,98;12,48;13,23;13,23;13,31;13,31;13,39;13,39;13,73;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
GLICOSE;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICOSE;50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML;K1B3 - SOLUÇÕES CARBOHIDRATOS <10%;Específico;Regulado;6,12;6,12;6,95;7,37;7,37;7,42;7,42;7,46;7,46;7,65;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
GLICOSE;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICOSE;500 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML ;K1C1 - SOLUÇÕES DE CARBOHIDRATOS >10%;Específico;Regulado;9,24;9,24;10,5;11,13;11,13;11,2;11,2;11,27;11,27;11,55;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
"ÓLEO DE PEIXE;TRIGLICERÍDEOS CADEIA MÉDIA;ÓLEO DE OLIVA;ÓLEO DE SOJA";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFLIPID 20%;(60 + 60 +50 +30)MG/ML EMU INJ CX FR VD TRANS X 100 ML;K1D1 - EMULSÔES DE GORDURAS, PURAS;Específico;Liberado;189,12;211,82;244,78;261,75;227,86;263,58;229,24;265,43;230,64;273,12;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Sim;Tarja Venda Livre
"ÓLEO DE PEIXE;TRIGLICERÍDEOS CADEIA MÉDIA;ÓLEO DE OLIVA;ÓLEO DE SOJA";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFLIPID 20%;(60 + 60 + 50 + 30)MG/ML EMU INJ CX FR VD TRANS X 500 ML;K1D1 - EMULSÔES DE GORDURAS, PURAS;Específico;Liberado;344,58;385,93;445,98;476,9;415,16;480,24;417,67;483,61;420,22;497,61;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Sim;Tarja Venda Livre
"CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;RINGER;(8,6+0,33+0,30)MG/ML SOL INJ IV CX BOLS PLAS SIST FECH X 500ML;K1A7 - SOLUÇÕES DE RINGER E RINGER LACTATO;Específico;Regulado;6,02;6,02;6,84;7,25;7,25;7,3;7,3;7,34;7,34;7,53;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CLORETO DE CÁLCIO 2H2O;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;RINGER;(8,6+0,33+0,30) MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML;K1A7 - SOLUÇÕES DE RINGER E RINGER LACTATO;Específico;Regulado;5,09;5,7;6,59;7,04;6,13;7,09;6,17;7,14;6,21;7,35;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
"CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;RINGER;(8,6+0,33+0,30) MG/ML SOL INJ IV CX 30 FR PLAS TRANS SIST FECH X 500 ML;K1A7 - SOLUÇÕES DE RINGER E RINGER LACTATO;Específico;Regulado;152,97;171,33;197,99;211,72;184,3;213,2;185,42;214,7;186,55;220,91;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
"LACTATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;GLICOSE;CLORETO DE CÁLCIO DIIDRATADO;CLORETO DE MAGNÉSIO";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SOLUÇÃO P/ DIÁLISE PERITONEAL;(15+5,6+5+0,20+0,15) MG/ML SOL DP CX FR PLAS TRANS SIST FECH X 1000 ML ;K6B - SOLUÇÕES PARA DIÁLISE PERITONEAL;Específico;Regulado;9,01;9,01;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Positiva;Não;Tarja  Vermelha
MANITOL;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;MANITOL 20%;200 MG/ML SOL INFUS IV CX FR PLAS TRANS SIST FECH X 250 ML ;C3A9 - OUTROS DIURÉTICOS;Específico;Regulado;12,56;12,56;14,27;15,13;15,13;15,22;15,22;15,32;15,32;15,7;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MANITOL;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;MANITOL 20%;200 MG/ML SOL INFUS IV CX BOLS PLAS TRANS SIST FECH X 250 ML ;C3A9 - OUTROS DIURÉTICOS;Específico;Regulado;11,98;11,98;13,61;14,43;14,43;14,52;14,52;14,61;14,61;14,98;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
METRONIDAZOL;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;ENDONIDAZOL;5 MG/ML SOL INJ CX FR PLAS TRANS SIST FECH X 100 ML;J8B - OUTROS ANTIINFECCIOSOS ANAERÓBICOS;Similar;Regulado;9,86;9,86;11,2;11,88;11,88;11,95;11,95;12,02;12,02;12,33;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
BICARBONATO DE SÓDIO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;BICARBONATO DE SÓDIO;84 MG/ML SOL INJ FR VD INC X 250 ML;K1A5 - SOLUÇÕES ELETROLÍTICAS ADAPTANTES;Específico;Regulado;54,5;54,5;61,93;65,66;65,66;66,06;66,06;66,46;66,46;68,13;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
BICARBONATO DE SÓDIO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;BICARBONATO DE SÓDIO;84 MG/ML SOL INJ CX 10 FR VD INC X 250 ML;K1A5 - SOLUÇÕES ELETROLÍTICAS ADAPTANTES;Específico;Regulado;528,07;528,07;600,08;636,23;636,23;640,08;640,08;643,99;643,99;660,09;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Não;Tarja -(*)
"FENILALANINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;TIROSINA;LEUCINA;GLICINA;ISOLEUCINA;ACETILCISTEÍNA;LEVOMETIONINA;ALANINA;ACETATO DE LISINA;ARGININA";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;NEPHROTECT;SOL INJ FR VD TRANS X 250 ML;K1E3 - SOLUÇÕES AMINOÁCIDAS PARA NEFROPATAS;Específico;Regulado;74,49;83,43;96,41;103,1;89,75;103,82;90,29;104,55;90,84;107,57;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
"L-TREONINA;L-TIROSINA;GLICINA;GLICILTIROSINA;ACETATO DE LISINA;L-PROLINA;L-FENILALANINA;N-ACETIL CISTEÍNA;L-ISOLEUCINA;L-TRIPTOFANO;L-LEUCINA;L-ALANINA;L-METIONINA;LEVOVALINA;L-ARGININA;L-SERINA;L-HISTIDINA";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;NEPHROTECT;SOL INJ CX 10 FR VD TRANS X 250 ML ;K1E3 - SOLUÇÕES AMINOÁCIDAS PARA NEFROPATAS;Específico;Regulado;721,69;808,29;934,05;998,83;869,5;1005,8;874,77;1012,88;880,11;1042,2;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
"FENILALANINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;TIROSINA;LEUCINA;GLICINA;ISOLEUCINA;ACETILCISTEÍNA;LEVOMETIONINA;ALANINA;ACETATO DE LISINA;ARGININA";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;NEPHROTECT;SOL INJ FR VD TRANS X 500 ML ;K1E3 - SOLUÇÕES AMINOÁCIDAS PARA NEFROPATAS;Específico;Regulado;132,94;148,89;172,06;183,99;160,17;185,27;161,14;186,58;162,12;191,98;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Sim;Tarja  Vermelha
"L-TREONINA;L-TIROSINA;GLICINA;GLICILTIROSINA;ACETATO DE LISINA;L-PROLINA;L-FENILALANINA;N-ACETIL CISTEÍNA;L-ISOLEUCINA;L-TRIPTOFANO;L-LEUCINA;L-ALANINA;L-METIONINA;LEVOVALINA;L-ARGININA;L-SERINA;L-HISTIDINA";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;NEPHROTECT;SOL INJ CX 10 FR VD TRANS X 500 ML ;K1E3 - SOLUÇÕES AMINOÁCIDAS PARA NEFROPATAS;Específico;Regulado;1287,87;1442,41;1666,83;1782,43;1551,65;1794,88;1561,05;1807,5;1570,57;1859,83;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
"FENILALANINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;LEUCINA;GLICINA;ISOLEUCINA;ACETILCISTEÍNA;LEVOMETIONINA;ALANINA;ARGININA;LISINA";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;AMINOSTERIL N-HEPA 8%;SOL INJ CX FR VD TRANS X 500 ML (500 ML);K1E4 - SOLUÇÕES AMINOÁCIDAS PARA HEPATOPATAS;Específico;Regulado;89,63;89,63;101,85;107,99;107,99;108,64;108,64;109,3;109,3;112,04;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
"L-TREONINA;L-LISINA;ACETILCISTEÍNA;GLICINA;L-PROLINA;L-FENILALANINA;L-ISOLEUCINA;L-TRIPTOFANO;L-LEUCINA;L-ALANINA;L-METIONINA;LEVOVALINA;L-ARGININA;L-SERINA;L-HISTIDINA";49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;AMINOSTERIL N-HEPA 8%;SOL INJ CX 10 FR VD TRANS X 500 ML (500 ML) ;K1E4 - SOLUÇÕES AMINOÁCIDAS PARA HEPATOPATAS;Específico;Regulado;896,45;896,45;1018,69;1080,06;1080,06;1086,61;1086,61;1093,23;1093,23;1120,56;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
GLICONATO DE CÁLCIO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;GLICONATO DE CÁLCIO;100 MG/ML SOL INJ IV CX 100 AMP VD TRANS X 10 ML ;V3G2 - PRODUTOS PARA HIPERFOSFATEMIA;Específico;Regulado;153,84;153,84;174,82;185,35;185,35;186,47;186,47;187,61;187,61;192,3;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
DACARBAZINA;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;ASERCIT;200 MG PO LIOF INJ CX FA VD AMB (REST HOSP);L1A - AGENTES ANTINEOPLÁSICOS ALQUILANTES;Similar;Regulado;105,84;105,84;120,27;127,52;127,52;128,29;128,29;129,07;129,07;132,3;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
SULFATO DE VIMBLASTINA;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;RABINEFIL;10 MG PO LIOF INJ CX FA  X 10 ML ;L1C1 - AGENTES ANTINEOPLÁSICOS ALCALÓIDES DA VINCA;Similar;Regulado;72,54;72,54;82,43;87,4;87,4;87,93;87,93;88,46;88,46;90,68;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Não;Tarja Vermelha (*)
TAURINA;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN LIVRE DE ELETRÓLITOS;EMU INJ IV BOLS PLAS TRANS X 986 ML SIST FECH;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;367,81;411,95;476,04;509,06;443,15;512,61;445,83;516,22;448,55;531,16;552,62;635,89;678,54;612,63;683,11;616,33;687,76;620,09;706,99;Não;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
TAURINA;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN LIVRE DE ELETRÓLITOS;EMU INJ IV BOLS PLAS TRANS X 1477 ML SIST FECH ;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;545,55;611,02;706,09;755,05;657,29;760,33;661,28;765,68;665,31;787,84;819,66;943,18;1006,42;908,66;1013,23;914,18;1020,12;919,75;1048,64;Não;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
TAURINA;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN LIVRE DE ELETRÓLITOS;EMU INJ IV BOLS PLASTRANS X 1970 ML SIST FECH;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;729,63;817,19;944,33;1009,82;879,08;1016,88;884,4;1024,03;889,8;1053,68;1096,23;1261,42;1346,01;1215,28;1355,11;1222,63;1364,32;1230,1;1402,48;Não;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
TAURINA;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN LIVRE DE ELETRÓLITOS;EMU INJ IV BOLS PLAS TRANS X 2463 ML SIST FECH;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;913,71;1023,35;1182,57;1264,58;1100,85;1273,41;1107,52;1282,37;1114,27;1319,5;1372,79;1579,66;1685,59;1521,86;1696,97;1531,08;1708,51;1540,41;1756,3;Não;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
SULFATO DE ZINCO HEPTAIDRATADO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN;EMU INJ IV BOLS PLAS TRANS X 1477 ML SIST FECH;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;545,55;611,02;706,09;755,05;657,29;760,33;661,28;765,68;665,31;787,84;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
SULFATO DE ZINCO HEPTAIDRATADO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN;EMU INJ IV BOLS PLAS TRANS X 1970 ML SIST FECH;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;729,63;817,19;944,33;1009,82;879,08;1016,88;884,4;1024,03;889,8;1053,68;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
SULFATO DE ZINCO HEPTAIDRATADO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN;EMU INJ IV BOLS PLAS TRANS X 2463 ML SIST FECH;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;913,71;1023,35;1182,57;1264,58;1100,85;1273,41;1107,52;1282,37;1114,27;1319,5;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Não;Tarja Vermelha(*)
SULFATO DE ZINCO HEPTAIDRATADO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN;EMU INJ IV BOLS PLAS TRANS X 986 ML SIST FECH ;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;367,81;411,95;476,04;509,06;443,15;512,61;445,83;516,22;448,55;531,16;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
SULFATO DE ZINCO HEPTAIDRATADO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN;EMU INJ IV BOLS PLAS TRANS X 1448 ML SIST FECH  ;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;537,12;601,58;695,18;743,39;647,14;748,58;651,06;753,85;655,03;775,67;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Não;Tarja Vermelha(*)
SULFATO DE ZINCO HEPTAIDRATADO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN;EMU INJ IV BOLS PLAS TRANS X 1904 ML SIST FECH;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;706,27;791,02;914,09;977,49;850,92;984,31;856,08;991,24;861,3;1019,93;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
SULFATO DE ZINCO HEPTAIDRATADO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;SMOFKABIVEN;EMU INJ IV BOLS PLAS TRANS X 1206 ML SIST FECH ;K1D2 - ASSOCIAÇÕES DE EMULSÕES LIPÍDICAS;Específico;Regulado;447,34;501,02;578,97;619,12;538,96;623,45;542,23;627,83;545,54;646,01;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
METRONIDAZOL;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;METRONIDAZOL;5 MG/ML SOL INJ CX FR PLAS TRANS SIST FECH X 100 ML;J8B - OUTROS ANTIINFECCIOSOS ANAERÓBICOS;Genérico;Regulado;11,59;11,59;13,17;13,96;13,96;14,05;14,05;14,13;14,13;14,49;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CIPROFLOXACINO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;CIPROFLOXACINO;2,0 MG/ML SOL INJ CT FR PLAS PVC TRANS SIST FECH X 100 ML ;J1G2 - FLUORQUINOLONAS INJETÁVEIS;Genérico;Regulado;80,01;80,01;90,92;96,4;96,4;96,98;96,98;97,57;97,57;100,01;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CIPROFLOXACINO;49.324.221/0001-04;FRESENIUS KABI BRASIL LTDA;5,1E+14;1E+12;7,9E+12;    -     ;    -     ;CIPROFLOXACINO;2,0 MG/ML SOL INJ CX  24 FR PLAS PVC TRANS SIST FECH X 100 ML;J1G2 - FLUORQUINOLONAS INJETÁVEIS;Genérico;Regulado;1920,86;1920,86;2182,8;2314,29;2314,29;2328,31;2328,31;2342,51;2342,51;2401,08;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
